Date,Price
01/01/2013,39.12
02/01/2013,47.72
03/01/2013,45.53
04/01/2013,47.74
05/01/2013,45.37
06/01/2013,44.37
07/01/2013,46.66
08/01/2013,47.37
09/01/2013,49.28
10/01/2013,53.37
11/01/2013,50.09
12/01/2013,49.72
13/01/2013,45.81
14/01/2013,52.68
15/01/2013,52.58
16/01/2013,53.94
17/01/2013,53.93
18/01/2013,52.96
19/01/2013,50.03
20/01/2013,46.8
21/01/2013,54.17
22/01/2013,52.35
23/01/2013,53.27
24/01/2013,56.89
25/01/2013,49.14
26/01/2013,48.11
27/01/2013,43.68
28/01/2013,43.16
29/01/2013,43.08
30/01/2013,42.95
31/01/2013,46.39
01/02/2013,48.67
02/02/2013,49.52
03/02/2013,42.44
04/02/2013,46.01
05/02/2013,48.83
06/02/2013,47.33
07/02/2013,53.32
08/02/2013,51.99
09/02/2013,51.69
10/02/2013,49.11
11/02/2013,47.65
12/02/2013,50.57
13/02/2013,49.59
14/02/2013,49.83
15/02/2013,48.78
16/02/2013,49.03
17/02/2013,51.91
18/02/2013,51.26
19/02/2013,52.4
20/02/2013,50.84
21/02/2013,51.05
22/02/2013,51.52
23/02/2013,55.29
24/02/2013,52.78
25/02/2013,60.23
26/02/2013,59.1
27/02/2013,57.74
28/02/2013,53.47
01/03/2013,52.48
02/03/2013,51.26
03/03/2013,52.57
04/03/2013,63.07
05/03/2013,63.82
06/03/2013,52.96
07/03/2013,53.6
08/03/2013,49.17
09/03/2013,49.29
10/03/2013,48.7
11/03/2013,52.96
12/03/2013,58.54
13/03/2013,67.33
14/03/2013,69.67
15/03/2013,56.54
16/03/2013,53.2
17/03/2013,58.9
18/03/2013,61.42
19/03/2013,60.12
20/03/2013,60.23
21/03/2013,67.26
22/03/2013,66.36
23/03/2013,66.63
24/03/2013,52.1
25/03/2013,69.56
26/03/2013,70.39
27/03/2013,76.56
28/03/2013,73.4
29/03/2013,65.73
30/03/2013,62.75
31/03/2013,60.89
01/04/2013,57.82
02/04/2013,64.27
03/04/2013,56.3
04/04/2013,56.42
05/04/2013,59.21
06/04/2013,61.56
07/04/2013,59.72
08/04/2013,61.39
09/04/2013,56.18
10/04/2013,57.41
11/04/2013,55.18
12/04/2013,52.6
13/04/2013,53.65
14/04/2013,50.89
15/04/2013,49.45
16/04/2013,44.36
17/04/2013,49.08
18/04/2013,45.33
19/04/2013,48.23
20/04/2013,48.13
21/04/2013,45.33
22/04/2013,48.22
23/04/2013,46.16
24/04/2013,46.01
25/04/2013,49.12
26/04/2013,48.12
27/04/2013,46.95
28/04/2013,44.79
29/04/2013,47.45
30/04/2013,49.54
01/05/2013,48.27
02/05/2013,48.97
03/05/2013,46.23
04/05/2013,45.8
05/05/2013,45.36
06/05/2013,46.11
07/05/2013,47.86
08/05/2013,45.65
09/05/2013,45.01
10/05/2013,45.74
11/05/2013,45.42
12/05/2013,42.54
13/05/2013,44.59
14/05/2013,45.67
15/05/2013,47.51
16/05/2013,49.96
17/05/2013,53
18/05/2013,51.93
19/05/2013,53.67
20/05/2013,50.81
21/05/2013,49.87
22/05/2013,49.55
23/05/2013,51.09
24/05/2013,51.36
25/05/2013,52.52
26/05/2013,48.32
27/05/2013,44.13
28/05/2013,47.84
29/05/2013,49.35
30/05/2013,51.07
31/05/2013,50.94
01/06/2013,54.87
02/06/2013,53.06
03/06/2013,53.71
04/06/2013,50.63
05/06/2013,50.47
06/06/2013,49.8
07/06/2013,48.34
08/06/2013,46.45
09/06/2013,46.19
10/06/2013,49.15
11/06/2013,46.73
12/06/2013,45.81
13/06/2013,45.29
14/06/2013,48.04
15/06/2013,47.06
16/06/2013,47.66
17/06/2013,48.69
18/06/2013,49.48
19/06/2013,48.55
20/06/2013,47.99
21/06/2013,46.6
22/06/2013,42.66
23/06/2013,34.95
24/06/2013,38.44
25/06/2013,42.8
26/06/2013,47.68
27/06/2013,48.34
28/06/2013,49.24
29/06/2013,47.49
30/06/2013,44.85
01/07/2013,47.09
02/07/2013,46.92
03/07/2013,46.68
04/07/2013,46.64
05/07/2013,47.26
06/07/2013,45.73
07/07/2013,45.65
08/07/2013,48.49
09/07/2013,48.5
10/07/2013,51.38
11/07/2013,50.25
12/07/2013,49.58
13/07/2013,48.79
14/07/2013,47.99
15/07/2013,48.11
16/07/2013,48.31
17/07/2013,49.33
18/07/2013,50.19
19/07/2013,49.94
20/07/2013,49
21/07/2013,47.48
22/07/2013,48.32
